Sliding Speed,CeO2,Load,Volume Loss
75,0,5,0.41
75,0,10,0.55
75,0,20,0.89
75,0,30,1.22
75,0,40,1.44
75,0.25,5,0.34
75,0.25,10,0.48
75,0.25,20,0.76
75,0.25,30,1.01
75,0.25,40,1.11
75,0.5,5,0.29
75,0.5,10,0.43
75,0.5,20,0.64
75,0.5,30,0.87
75,0.5,40,1.03
75,1,5,0.23
75,1,10,0.36
75,1,20,0.61
75,1,30,0.74
75,1,40,1.01
110,0,5,0.53
110,0,10,0.56
110,0,20,0.77
110,0,30,0.95
110,0,40,1.13
110,0.25,5,0.44
110,0.25,10,0.51
110,0.25,20,0.67
110,0.25,30,0.88
110,0.25,40,1.07
110,0.5,5,0.42
110,0.5,10,0.48
110,0.5,20,0.65
110,0.5,30,0.79
110,0.5,40,0.88
110,1,5,0.33
110,1,10,0.43
110,1,20,0.59
110,1,30,0.71
110,1,40,0.86
145,0,5,0.44
145,0,10,0.63
145,0,20,0.65
145,0,30,0.76
145,0,40,0.89
145,0.25,5,0.41
145,0.25,10,0.47
145,0.25,20,0.63
145,0.25,30,0.72
145,0.25,40,0.85
145,0.5,5,0.4
145,0.5,10,0.44
145,0.5,20,0.61
145,0.5,30,0.69
145,0.5,40,0.78
145,1,5,0.31
145,1,10,0.34
145,1,20,0.58
145,1,30,0.63
145,1,40,0.73